cgi,Ê±¼ä,download
460-00-10505122-1,2021/1/2,0.008590873
460-00-10505122-2,2021/1/2,0.029787916
460-00-10505122-3,2021/1/2,0.020406285
460-00-10505124-1,2021/1/2,0.012714655
460-00-10505124-2,2021/1/2,0.067596614
460-00-10505129-1,2021/1/2,0.013890392
460-00-10505129-2,2021/1/2,0.014416188
460-00-10505129-3,2021/1/2,0.009089903
460-00-10505132-1,2021/1/2,0.004091177
460-00-10505132-2,2021/1/2,0.011730635
460-00-10505132-3,2021/1/2,0.003273615
460-00-10505134-1,2021/1/2,0.000673268
460-00-10505134-2,2021/1/2,0.001049533
460-00-10505192-1,2021/1/2,0.007946572
460-00-10505192-2,2021/1/2,0.007137724
460-00-10505192-3,2021/1/2,0.009373935
460-00-10505209-1,2021/1/2,0.010896266
460-00-10505209-2,2021/1/2,0.022444353
460-00-10505209-3,2021/1/2,0.026392701
460-00-10505086-2,2021/1/3,
460-00-10505086-3,2021/1/3,
460-00-10505065-1,2021/1/3,0.027098174
460-00-10505065-2,2021/1/3,0.024384905
460-00-10505065-3,2021/1/3,0.02950679
460-00-10505068-1,2021/1/3,0.004803813
460-00-10505068-2,2021/1/3,0.003968822
460-00-10505068-3,2021/1/3,0.002792284
460-00-10505085-1,2021/1/3,0.001126685
460-00-10505085-2,2021/1/3,0.003481748
460-00-10505085-3,2021/1/3,0.004063868
460-00-10505087-1,2021/1/3,0.002891959
460-00-10505087-2,2021/1/3,0.002377169
460-00-10505087-3,2021/1/3,0.001465762
460-00-10505088-3,2021/1/3,0.002643409
460-00-10505089-1,2021/1/3,0.002453182
460-00-10505089-2,2021/1/3,0.002746299
460-00-10505089-3,2021/1/3,0.004030704
460-00-10505090-1,2021/1/3,0.001924731
460-00-10505090-3,2021/1/3,0.001474961
460-00-10505096-2,2021/1/3,0.002522479
460-00-10505096-3,2021/1/3,0.003818115
460-00-10505097-1,2021/1/3,0.00106856
460-00-10505097-2,2021/1/3,0.001196048
460-00-10505098-1,2021/1/3,0.001388681
460-00-10505098-2,2021/1/3,0.001275375
460-00-10505099-1,2021/1/3,0.0020764
460-00-10505099-2,2021/1/3,0.000844477
460-00-10505100-1,2021/1/3,0.00178741
460-00-10505100-2,2021/1/3,0.002365647
460-00-10505101-1,2021/1/3,0.000634357
460-00-10505101-2,2021/1/3,0.000795349
460-00-10505101-3,2021/1/3,0.000330199
460-00-10505102-1,2021/1/3,0.003790961
460-00-10505102-2,2021/1/3,0.001338289
460-00-10505102-3,2021/1/3,0.001940077
460-00-10505106-1,2021/1/3,0.000170214
460-00-10505106-2,2021/1/3,0.001762662
460-00-10505106-3,2021/1/3,0.002336563
460-00-10505112-1,2021/1/3,0.000917642
460-00-10505112-2,2021/1/3,0.000192787
460-00-10505121-1,2021/1/3,0.001027387
460-00-10505121-2,2021/1/3,0.000902638
460-00-10505122-1,2021/1/3,0.005670731
460-00-10505122-2,2021/1/3,0.021403853
460-00-10505122-3,2021/1/3,0.013446519
460-00-10505124-1,2021/1/3,0.014515917
460-00-10505124-2,2021/1/3,0.066017535
460-00-10505129-1,2021/1/3,0.020006357
460-00-10505129-2,2021/1/3,0.009059496
460-00-10505129-3,2021/1/3,0.003760875
460-00-10505132-1,2021/1/3,0.005893256
460-00-10505132-2,2021/1/3,0.01762297
460-00-10505132-3,2021/1/3,0.005385775
460-00-10505134-1,2021/1/3,0.000443477
460-00-10505134-2,2021/1/3,0.000914978
460-00-10505192-1,2021/1/3,0.008715428
460-00-10505192-2,2021/1/3,0.010737952
460-00-10505192-3,2021/1/3,0.01077468
460-00-10505209-1,2021/1/3,0.007221912
460-00-10505209-2,2021/1/3,0.018267908
460-00-10505209-3,2021/1/3,0.015563077
460-00-10505086-2,2021/1/4,
460-00-10505086-3,2021/1/4,
460-00-10505065-1,2021/1/4,0.032524333
460-00-10505065-2,2021/1/4,0.01592014
460-00-10505065-3,2021/1/4,0.032306619
460-00-10505068-1,2021/1/4,0.004377124
460-00-10505068-2,2021/1/4,0.002897271
460-00-10505068-3,2021/1/4,0.002916366
460-00-10505085-1,2021/1/4,0.00199782
460-00-10505085-2,2021/1/4,0.003114718
460-00-10505085-3,2021/1/4,0.004738582
460-00-10505087-1,2021/1/4,0.002158147
460-00-10505087-2,2021/1/4,0.001917929
460-00-10505087-3,2021/1/4,0.001348699
460-00-10505088-3,2021/1/4,0.002704233
460-00-10505089-1,2021/1/4,0.002298929
460-00-10505089-2,2021/1/4,0.002631803
460-00-10505089-3,2021/1/4,0.00286775
460-00-10505090-1,2021/1/4,0.001646301
460-00-10505090-3,2021/1/4,0.001462699
460-00-10505096-2,2021/1/4,0.00090131
460-00-10505096-3,2021/1/4,0.00327162
460-00-10505097-1,2021/1/4,0.001060987
460-00-10505097-2,2021/1/4,0.001142749
460-00-10505098-1,2021/1/4,0.001232516
460-00-10505098-2,2021/1/4,0.000988016
460-00-10505099-1,2021/1/4,0.002805656
460-00-10505099-2,2021/1/4,0.001539807
460-00-10505100-1,2021/1/4,0.001439371
460-00-10505100-2,2021/1/4,0.002155184
460-00-10505101-1,2021/1/4,0.000365504
460-00-10505101-2,2021/1/4,0.000704073
460-00-10505101-3,2021/1/4,0.000228277
460-00-10505102-1,2021/1/4,0.002599947
460-00-10505102-2,2021/1/4,0.001112505
460-00-10505102-3,2021/1/4,0.001715181
460-00-10505106-1,2021/1/4,0.000634214
460-00-10505106-2,2021/1/4,0.001606663
460-00-10505106-3,2021/1/4,0.001815714
460-00-10505112-1,2021/1/4,0.000827217
460-00-10505112-2,2021/1/4,0.0003374
460-00-10505121-1,2021/1/4,0.00097405
460-00-10505121-2,2021/1/4,0.000706645
460-00-10505122-1,2021/1/4,0.005117909
460-00-10505122-2,2021/1/4,0.029599663
460-00-10505122-3,2021/1/4,0.013902387
460-00-10505124-1,2021/1/4,0.014458658
460-00-10505124-2,2021/1/4,0.061353946
460-00-10505129-1,2021/1/4,0.021745915
460-00-10505129-2,2021/1/4,0.008407704
460-00-10505129-3,2021/1/4,0.008974976
460-00-10505132-1,2021/1/4,0.01075222
460-00-10505132-2,2021/1/4,0.016369297
460-00-10505132-3,2021/1/4,0.008980702
460-00-10505134-1,2021/1/4,0.000516227
460-00-10505134-2,2021/1/4,0.001067217
460-00-10505192-1,2021/1/4,0.010515337
460-00-10505192-2,2021/1/4,0.012517127
460-00-10505192-3,2021/1/4,0.01074899
460-00-10505209-1,2021/1/4,0.008895641
460-00-10505209-2,2021/1/4,0.017115146
460-00-10505209-3,2021/1/4,0.009199012
460-00-10505086-2,2021/1/5,
460-00-10505086-3,2021/1/5,
460-00-10505065-1,2021/1/5,0.026287598
460-00-10505065-2,2021/1/5,0.015766043
460-00-10505065-3,2021/1/5,0.023785765
460-00-10505068-1,2021/1/5,0.003603017
460-00-10505068-2,2021/1/5,0.003579777
460-00-10505068-3,2021/1/5,0.001685857
460-00-10505085-1,2021/1/5,0.000575926
460-00-10505085-2,2021/1/5,0.002368463
460-00-10505085-3,2021/1/5,0.002984537
460-00-10505087-1,2021/1/5,0.00218376
460-00-10505087-2,2021/1/5,0.001983094
460-00-10505087-3,2021/1/5,0.002091209
460-00-10505088-3,2021/1/5,0.002012652
460-00-10505089-1,2021/1/5,0.002857508
460-00-10505089-2,2021/1/5,0.002200342
460-00-10505089-3,2021/1/5,0.003781365
460-00-10505090-1,2021/1/5,0.001517213
460-00-10505090-3,2021/1/5,0.001514531
460-00-10505096-2,2021/1/5,0.000730189
460-00-10505096-3,2021/1/5,0.001705747
460-00-10505097-1,2021/1/5,0.001025173
460-00-10505097-2,2021/1/5,0.001016738
460-00-10505098-1,2021/1/5,0.000996527
460-00-10505098-2,2021/1/5,0.000925071
460-00-10505099-1,2021/1/5,0.001723303
460-00-10505099-2,2021/1/5,0.000418019
460-00-10505100-1,2021/1/5,0.002649163
460-00-10505100-2,2021/1/5,0.001498196
460-00-10505101-1,2021/1/5,0.000824346
460-00-10505101-2,2021/1/5,0.000563879
460-00-10505101-3,2021/1/5,0.000615745
460-00-10505102-1,2021/1/5,0.00257625
460-00-10505102-2,2021/1/5,0.000980294
460-00-10505102-3,2021/1/5,0.001581691
460-00-10505106-1,2021/1/5,0.000204107
460-00-10505106-2,2021/1/5,0.001099349
460-00-10505106-3,2021/1/5,0.001437439
460-00-10505112-1,2021/1/5,0.000748038
460-00-10505112-2,2021/1/5,0.000130885
460-00-10505121-1,2021/1/5,0.000700959
460-00-10505121-2,2021/1/5,0.000603238
460-00-10505122-1,2021/1/5,0.003867654
460-00-10505122-2,2021/1/5,0.022983878
460-00-10505122-3,2021/1/5,0.008047124
460-00-10505124-1,2021/1/5,0.012659557
460-00-10505124-2,2021/1/5,0.064390629
460-00-10505129-1,2021/1/5,0.015662211
460-00-10505129-2,2021/1/5,0.00573911
460-00-10505129-3,2021/1/5,0.004089749
460-00-10505132-1,2021/1/5,0.009744387
460-00-10505132-2,2021/1/5,0.013283975
460-00-10505132-3,2021/1/5,0.009369233
460-00-10505134-1,2021/1/5,0.000971543
460-00-10505134-2,2021/1/5,0.001167007
460-00-10505192-1,2021/1/5,0.010200843
460-00-10505192-2,2021/1/5,0.008694659
460-00-10505192-3,2021/1/5,0.013953433
460-00-10505209-1,2021/1/5,0.008855932
460-00-10505209-2,2021/1/5,0.020336991
460-00-10505209-3,2021/1/5,0.009850805
460-00-10505065-1,2021/1/6,0.016295914
460-00-10505065-2,2021/1/6,0.013416129
460-00-10505065-3,2021/1/6,0.016686803
460-00-10505068-1,2021/1/6,0.003989591
460-00-10505068-2,2021/1/6,0.001782847
460-00-10505068-3,2021/1/6,0.001944699
460-00-10505085-1,2021/1/6,0.000674568
460-00-10505085-2,2021/1/6,0.002718597
460-00-10505085-3,2021/1/6,0.003431224
460-00-10505086-2,2021/1/6,3.74E-05
460-00-10505086-3,2021/1/6,0.000520933
460-00-10505087-1,2021/1/6,0.002171889
460-00-10505087-2,2021/1/6,0.001662963
460-00-10505087-3,2021/1/6,0.001973426
460-00-10505088-3,2021/1/6,0.001883501
460-00-10505089-1,2021/1/6,0.003287768
460-00-10505089-2,2021/1/6,0.002479934
460-00-10505089-3,2021/1/6,0.003153449
460-00-10505090-1,2021/1/6,0.00189872
460-00-10505090-3,2021/1/6,0.001318458
460-00-10505096-2,2021/1/6,0.00079805
460-00-10505096-3,2021/1/6,0.001586503
460-00-10505097-1,2021/1/6,0.000939359
460-00-10505097-2,2021/1/6,0.000654478
460-00-10505098-1,2021/1/6,0.001266844
460-00-10505098-2,2021/1/6,0.001146107
460-00-10505099-1,2021/1/6,0.001936686
460-00-10505099-2,2021/1/6,0.000335281
460-00-10505100-1,2021/1/6,0.000992374
460-00-10505100-2,2021/1/6,0.001166593
460-00-10505101-1,2021/1/6,0.000808859
460-00-10505101-2,2021/1/6,0.000660532
460-00-10505101-3,2021/1/6,0.000955602
460-00-10505102-1,2021/1/6,0.002434396
460-00-10505102-2,2021/1/6,0.000896039
460-00-10505102-3,2021/1/6,0.001226554
460-00-10505106-1,2021/1/6,0.000245822
460-00-10505106-2,2021/1/6,0.00090088
460-00-10505106-3,2021/1/6,0.001518105
460-00-10505112-1,2021/1/6,0.000681106
460-00-10505112-2,2021/1/6,3.62E-05
460-00-10505121-1,2021/1/6,0.000768343
460-00-10505121-2,2021/1/6,0.000679731
460-00-10505122-1,2021/1/6,0.003533752
460-00-10505122-2,2021/1/6,0.017805795
460-00-10505122-3,2021/1/6,0.007789778
460-00-10505124-1,2021/1/6,0.017077653
460-00-10505124-2,2021/1/6,0.059122428
460-00-10505129-1,2021/1/6,0.014594399
460-00-10505129-2,2021/1/6,0.005211473
460-00-10505129-3,2021/1/6,0.004463364
460-00-10505132-1,2021/1/6,0.016984203
460-00-10505132-2,2021/1/6,0.011536472
460-00-10505132-3,2021/1/6,0.011061655
460-00-10505134-1,2021/1/6,0.000901107
460-00-10505134-2,2021/1/6,0.000840614
460-00-10505192-1,2021/1/6,0.010017529
460-00-10505192-2,2021/1/6,0.00799398
460-00-10505192-3,2021/1/6,0.008488483
460-00-10505209-1,2021/1/6,0.007640848
460-00-10505209-2,2021/1/6,0.017296475
460-00-10505209-3,2021/1/6,0.011892589
460-00-10505065-1,2021/1/7,0.014943646
460-00-10505065-2,2021/1/7,0.013146569
460-00-10505065-3,2021/1/7,0.018534668
460-00-10505068-1,2021/1/7,0.003527734
460-00-10505068-2,2021/1/7,0.002598722
460-00-10505068-3,2021/1/7,0.00103112
460-00-10505085-1,2021/1/7,0.000555308
460-00-10505085-2,2021/1/7,0.001619616
460-00-10505085-3,2021/1/7,0.002708208
460-00-10505086-2,2021/1/7,2.37E-05
460-00-10505086-3,2021/1/7,0.000296138
460-00-10505087-1,2021/1/7,0.001279065
460-00-10505087-2,2021/1/7,0.001066914
460-00-10505087-3,2021/1/7,0.000797213
460-00-10505088-3,2021/1/7,0.001603423
460-00-10505089-1,2021/1/7,0.002336083
460-00-10505089-2,2021/1/7,0.002515198
460-00-10505089-3,2021/1/7,0.002305155
460-00-10505090-1,2021/1/7,0.00176444
460-00-10505090-3,2021/1/7,0.001075423
460-00-10505096-2,2021/1/7,0.000688725
460-00-10505096-3,2021/1/7,0.001352799
460-00-10505097-1,2021/1/7,0.000765067
460-00-10505097-2,2021/1/7,0.000526448
460-00-10505098-1,2021/1/7,0.000941108
460-00-10505098-2,2021/1/7,0.000746013
460-00-10505099-1,2021/1/7,0.001489539
460-00-10505099-2,2021/1/7,0.000133185
460-00-10505100-1,2021/1/7,0.001457155
460-00-10505100-2,2021/1/7,0.001230308
460-00-10505101-1,2021/1/7,0.001548949
460-00-10505101-2,2021/1/7,0.000664031
460-00-10505101-3,2021/1/7,0.000948272
460-00-10505102-1,2021/1/7,0.00167123
460-00-10505102-2,2021/1/7,0.00086535
460-00-10505102-3,2021/1/7,0.001009929
460-00-10505106-1,2021/1/7,1.41E-05
460-00-10505106-2,2021/1/7,0.001159622
460-00-10505106-3,2021/1/7,0.001470642
460-00-10505112-1,2021/1/7,0.000636668
460-00-10505112-2,2021/1/7,0.000166821
460-00-10505121-1,2021/1/7,0.000681108
460-00-10505121-2,2021/1/7,0.000540134
460-00-10505122-1,2021/1/7,0.003564193
460-00-10505122-2,2021/1/7,0.015649897
460-00-10505122-3,2021/1/7,0.004272673
460-00-10505124-1,2021/1/7,0.010702433
460-00-10505124-2,2021/1/7,0.04463616
460-00-10505129-1,2021/1/7,0.009916936
460-00-10505129-2,2021/1/7,0.004610541
460-00-10505129-3,2021/1/7,0.003914559
460-00-10505132-1,2021/1/7,0.002873757
460-00-10505132-2,2021/1/7,0.006465394
460-00-10505132-3,2021/1/7,0.005637057
460-00-10505134-1,2021/1/7,0.0001611
460-00-10505134-2,2021/1/7,0.000565501
460-00-10505192-1,2021/1/7,0.005680371
460-00-10505192-2,2021/1/7,0.005367369
460-00-10505192-3,2021/1/7,0.011547954
460-00-10505209-1,2021/1/7,0.006934182
460-00-10505209-2,2021/1/7,0.012369754
460-00-10505209-3,2021/1/7,0.005654618
460-00-10505065-1,2021/1/8,0.018754952
460-00-10505065-2,2021/1/8,0.01699687
460-00-10505065-3,2021/1/8,0.023630012
460-00-10505068-1,2021/1/8,0.002940564
460-00-10505068-2,2021/1/8,0.001706264
460-00-10505068-3,2021/1/8,0.002298821
460-00-10505085-1,2021/1/8,0.000627102
460-00-10505085-2,2021/1/8,0.002113658
460-00-10505085-3,2021/1/8,0.004258693
460-00-10505086-2,2021/1/8,2.82E-05
460-00-10505086-3,2021/1/8,0.000895397
460-00-10505087-1,2021/1/8,0.001873697
460-00-10505087-2,2021/1/8,0.001362963
460-00-10505087-3,2021/1/8,0.002167418
460-00-10505088-3,2021/1/8,0.001816851
460-00-10505089-1,2021/1/8,0.003187422
460-00-10505089-2,2021/1/8,0.002026114
460-00-10505089-3,2021/1/8,0.002712362
460-00-10505090-1,2021/1/8,0.001729099
460-00-10505090-3,2021/1/8,0.001525973
460-00-10505096-2,2021/1/8,0.000712393
460-00-10505096-3,2021/1/8,0.001392632
460-00-10505097-1,2021/1/8,0.00079104
460-00-10505097-2,2021/1/8,0.000657177
460-00-10505098-1,2021/1/8,0.001121089
460-00-10505098-2,2021/1/8,0.001221607
460-00-10505099-1,2021/1/8,0.001532577
460-00-10505099-2,2021/1/8,4.20E-05
460-00-10505100-1,2021/1/8,0.001819064
460-00-10505100-2,2021/1/8,0.001532356
460-00-10505101-1,2021/1/8,0.002336858
460-00-10505101-2,2021/1/8,0.000468486
460-00-10505101-3,2021/1/8,0.00072792
460-00-10505102-1,2021/1/8,0.00251187
460-00-10505102-2,2021/1/8,0.001215641
460-00-10505102-3,2021/1/8,0.001554544
460-00-10505106-1,2021/1/8,0.000278683
460-00-10505106-2,2021/1/8,0.000852476
460-00-10505106-3,2021/1/8,0.00156149
460-00-10505112-1,2021/1/8,0.000608973
460-00-10505112-2,2021/1/8,0.000231844
460-00-10505121-1,2021/1/8,0.00094424
460-00-10505121-2,2021/1/8,0.00090036
460-00-10505122-1,2021/1/8,0.002556742
460-00-10505122-2,2021/1/8,0.015340328
460-00-10505122-3,2021/1/8,0.005054619
460-00-10505124-1,2021/1/8,0.016406898
460-00-10505124-2,2021/1/8,0.04931593
460-00-10505129-1,2021/1/8,0.015737473
460-00-10505129-2,2021/1/8,0.007817167
460-00-10505129-3,2021/1/8,0.004833569
460-00-10505132-1,2021/1/8,0.001626222
460-00-10505132-2,2021/1/8,0.005380029
460-00-10505132-3,2021/1/8,0.004758956
460-00-10505134-1,2021/1/8,0.000260816
460-00-10505134-2,2021/1/8,0.001067348
460-00-10505192-1,2021/1/8,0.006121682
460-00-10505192-2,2021/1/8,0.006087996
460-00-10505192-3,2021/1/8,0.009686949
460-00-10505209-1,2021/1/8,0.00959035
460-00-10505209-2,2021/1/8,0.013313182
460-00-10505209-3,2021/1/8,0.013555524
460-00-10505065-1,2021/1/9,0.027973028
460-00-10505065-2,2021/1/9,0.033801844
460-00-10505065-3,2021/1/9,0.036914285
460-00-10505068-1,2021/1/9,0.003717771
460-00-10505068-2,2021/1/9,0.001181725
460-00-10505068-3,2021/1/9,0.003445228
460-00-10505085-1,2021/1/9,0.000702614
460-00-10505085-2,2021/1/9,0.003084378
460-00-10505085-3,2021/1/9,0.006951817
460-00-10505086-2,2021/1/9,0.000145721
460-00-10505086-3,2021/1/9,0.002006747
460-00-10505087-1,2021/1/9,0.00270155
460-00-10505087-2,2021/1/9,0.002149898
460-00-10505087-3,2021/1/9,0.006750081
460-00-10505088-3,2021/1/9,0.00225298
460-00-10505089-1,2021/1/9,0.003364215
460-00-10505089-2,2021/1/9,0.002642077
460-00-10505089-3,2021/1/9,0.004530109
460-00-10505090-1,2021/1/9,0.002175725
460-00-10505090-3,2021/1/9,0.001767303
460-00-10505096-2,2021/1/9,0.000921379
460-00-10505096-3,2021/1/9,0.001862625
460-00-10505097-1,2021/1/9,0.001139172
460-00-10505097-2,2021/1/9,0.001819297
460-00-10505098-1,2021/1/9,0.001394781
460-00-10505098-2,2021/1/9,0.001199246
460-00-10505099-1,2021/1/9,0.002359678
460-00-10505099-2,2021/1/9,0.000424207
460-00-10505100-1,2021/1/9,0.002499641
460-00-10505100-2,2021/1/9,0.002086014
460-00-10505101-1,2021/1/9,0.002352254
460-00-10505101-2,2021/1/9,0.000892902
460-00-10505101-3,2021/1/9,0.001290525
460-00-10505102-1,2021/1/9,0.002659114
460-00-10505102-2,2021/1/9,0.001383052
460-00-10505102-3,2021/1/9,0.001828372
460-00-10505106-1,2021/1/9,0.000182032
460-00-10505106-2,2021/1/9,0.001457358
460-00-10505106-3,2021/1/9,0.002206515
460-00-10505112-1,2021/1/9,0.001033451
460-00-10505112-2,2021/1/9,6.35E-05
460-00-10505121-1,2021/1/9,0.001379087
460-00-10505121-2,2021/1/9,0.001400731
460-00-10505122-1,2021/1/9,0.002669294
460-00-10505122-2,2021/1/9,0.018769352
460-00-10505122-3,2021/1/9,0.008078382
460-00-10505124-1,2021/1/9,0.022971693
460-00-10505124-2,2021/1/9,0.056134583
460-00-10505129-1,2021/1/9,0.016418886
460-00-10505129-2,2021/1/9,0.010328171
460-00-10505129-3,2021/1/9,0.018216519
460-00-10505132-1,2021/1/9,0.003476865
460-00-10505132-2,2021/1/9,0.006116872
460-00-10505132-3,2021/1/9,0.01068128
460-00-10505134-1,2021/1/9,0.00039862
460-00-10505134-2,2021/1/9,0.000730091
460-00-10505192-1,2021/1/9,0.006434141
460-00-10505192-2,2021/1/9,0.009863393
460-00-10505192-3,2021/1/9,0.011509511
460-00-10505209-1,2021/1/9,0.007304546
460-00-10505209-2,2021/1/9,0.014648446
460-00-10505209-3,2021/1/9,0.018456831
460-00-10505065-1,2021/1/10,0.028253337
460-00-10505065-2,2021/1/10,0.030855803
460-00-10505065-3,2021/1/10,0.040829336
460-00-10505068-1,2021/1/10,0.004587614
460-00-10505068-2,2021/1/10,0.003680674
460-00-10505068-3,2021/1/10,0.004310466
460-00-10505085-1,2021/1/10,0.000910006
460-00-10505085-2,2021/1/10,0.003151548
460-00-10505085-3,2021/1/10,0.004005091
460-00-10505086-2,2021/1/10,0.000194782
460-00-10505086-3,2021/1/10,0.00224001
460-00-10505087-1,2021/1/10,0.002788215
460-00-10505087-2,2021/1/10,0.002416703
460-00-10505087-3,2021/1/10,0.007566337
460-00-10505088-3,2021/1/10,0.002832518
460-00-10505089-1,2021/1/10,0.00358426
460-00-10505089-2,2021/1/10,0.003363792
460-00-10505089-3,2021/1/10,0.003936034
460-00-10505090-1,2021/1/10,0.002035257
460-00-10505090-3,2021/1/10,0.001987535
460-00-10505096-2,2021/1/10,0.000962926
460-00-10505096-3,2021/1/10,0.001991845
460-00-10505097-1,2021/1/10,0.001210137
460-00-10505097-2,2021/1/10,0.000736077
460-00-10505098-1,2021/1/10,0.00144747
460-00-10505098-2,2021/1/10,0.001190203
460-00-10505099-1,2021/1/10,0.002731966
460-00-10505099-2,2021/1/10,0.000900171
460-00-10505100-1,2021/1/10,0.002672575
460-00-10505100-2,2021/1/10,0.001910906
460-00-10505101-1,2021/1/10,0.000679413
460-00-10505101-2,2021/1/10,0.000764246
460-00-10505101-3,2021/1/10,0.001684121
460-00-10505102-1,2021/1/10,0.002942374
460-00-10505102-2,2021/1/10,0.001592904
460-00-10505102-3,2021/1/10,0.002014842
460-00-10505106-1,2021/1/10,0.00048071
460-00-10505106-2,2021/1/10,0.001994082
460-00-10505106-3,2021/1/10,0.002200694
460-00-10505112-1,2021/1/10,0.001054977
460-00-10505112-2,2021/1/10,0.000116768
460-00-10505121-1,2021/1/10,0.001399068
460-00-10505121-2,2021/1/10,0.001537985
460-00-10505122-1,2021/1/10,0.004827576
460-00-10505122-2,2021/1/10,0.020429226
460-00-10505122-3,2021/1/10,0.009679297
460-00-10505124-1,2021/1/10,0.081946914
460-00-10505124-2,2021/1/10,0.083336238
460-00-10505129-1,2021/1/10,0.022838392
460-00-10505129-2,2021/1/10,0.015605841
460-00-10505129-3,2021/1/10,0.010852317
